Sign_Up_Date,User_ID,Transactions,Expenses,Sales,Cash Flow,Payroll,Time,Reports,Taxes,Mileage,Accounting,My_Accountant,Apps,Live_Bookkeeping,Transactions_Usage,Expenses_Usage,Sales_Usage,CashFlow_Usage,Payroll_Usage,Time_Usage,Reports_Usage,Taxes_Usage,Mileage_Usage,Accounting_Usage,My_Accountant_Usage,Apps_Usage,Live_Bookkeeping_Usage,Plan_Type_Usage,Session_Length,Susbcribed,days,Payroll_Employees 
8/20/19,2681,0,0,1,0,0,0,1,1,1,1,1,0,1,1930,1717,684,19,2043,1426,1720,2120,1377,898,1583,470,1886,1,3256,0,-103,0
12/16/19,6775,1,0,1,0,1,0,0,0,1,1,1,0,0,695,56,138,7,3064,1495,1213,1828,1749,1251,828,823,199,3,1581,0,15,0
6/17/19,7034,0,1,1,1,0,0,1,0,1,0,1,1,1,1366,224,1473,569,487,6,1267,2775,500,2566,824,271,849,1,3535,1,-167,8
5/19/20,451,0,0,0,0,1,1,1,1,0,0,1,0,1,181,458,1287,722,935,198,74,3613,1878,1025,752,107,1971,1,1202,1,170,0
2/10/20,3278,0,1,0,1,0,1,1,1,1,0,1,0,1,930,1109,1922,1984,647,834,285,3014,391,2421,1463,27,1989,3,1733,1,71,0
4/28/20,2112,0,0,0,0,0,1,0,0,1,0,0,0,1,787,1308,831,1418,1048,1022,247,3520,1838,722,45,77,424,1,4580,0,149,3
2/28/20,36,1,1,0,1,0,0,0,0,1,0,1,0,0,12,1946,771,1048,1186,707,19,2797,414,2581,23,50,1239,2,11702,1,89,14
12/6/19,6183,1,0,1,1,1,0,0,0,1,0,0,1,0,1977,1657,980,599,2187,1746,941,3063,689,1424,179,698,208,2,100,1,5,0
3/27/20,6111,0,0,0,0,1,0,1,0,1,1,0,1,1,1523,1673,1032,1343,2483,169,894,3402,1745,1277,303,1789,41,3,5033,0,117,12
7/20/19,3519,1,1,0,1,0,1,1,1,1,1,0,0,1,572,1770,1331,379,1162,1763,1659,1164,1323,1898,1466,736,516,1,4480,1,-134,13
6/1/19,8563,0,1,0,0,0,1,0,0,1,0,1,1,0,934,1062,80,116,2559,302,40,1708,1547,823,1595,960,1802,1,2576,0,-183,0
1/16/20,1063,1,0,0,0,1,0,1,0,1,0,0,0,1,809,27,866,7,416,166,607,941,1551,1815,325,1407,1181,3,2352,1,46,6
1/8/20,7269,0,1,0,0,0,1,1,0,1,0,0,0,1,1855,785,1220,246,2967,781,1160,2988,1685,1015,1534,122,1757,3,2257,1,38,0
11/12/19,5792,0,0,1,0,0,1,0,1,1,1,1,1,1,1607,326,359,1605,1145,1983,1700,1874,170,2079,743,1239,114,3,4136,0,-19,0
12/8/19,2719,1,1,0,0,0,1,1,0,0,1,1,1,0,98,750,833,571,3118,661,436,3005,1558,640,228,1054,815,2,4679,1,7,14
2/1/20,1356,0,1,1,0,1,1,1,1,1,0,1,0,1,1270,1509,819,1851,2850,821,1390,3630,843,2164,1430,76,1444,3,4747,0,62,10
3/31/20,1458,0,0,0,0,0,1,0,1,1,1,0,1,1,511,1371,149,1994,3031,1130,763,1268,688,1656,1120,493,1978,3,3032,0,121,0
4/30/20,8168,1,1,0,0,1,0,1,0,0,0,1,0,1,230,509,1012,348,2019,1137,414,2866,1491,424,1700,943,722,2,11818,1,151,6
6/24/19,6547,1,0,0,0,0,0,0,1,0,0,0,0,1,1394,958,374,1920,1285,743,924,2490,1579,2105,988,750,9,2,4525,1,-160,0
4/19/20,1204,0,0,0,0,1,1,1,0,0,1,0,0,0,445,1193,565,642,1074,694,1534,2308,1276,2019,1042,1885,1448,1,4339,1,140,3
6/21/19,4934,0,1,1,0,1,0,0,0,0,0,1,1,1,235,995,1994,535,1698,404,148,3627,1078,1718,552,1215,425,2,9925,0,-163,8
2/9/20,400,0,1,0,0,0,1,0,0,1,0,0,0,1,59,1586,1974,897,1875,900,978,3305,1293,686,836,1573,1601,1,4858,1,70,0
10/20/19,7956,1,0,1,1,1,1,0,1,0,1,0,1,0,399,37,407,258,1162,1177,1912,3263,1749,422,263,1052,1866,3,8742,1,-42,12
12/2/19,3637,1,1,1,0,1,1,0,0,1,1,1,0,1,325,1598,1989,953,630,1952,1537,3304,1665,497,1183,1707,797,1,2240,1,1,0
11/17/19,7650,1,0,0,1,0,1,1,1,1,0,0,1,0,1344,531,78,1135,2482,283,1977,680,660,2691,817,979,1393,1,3636,1,-14,10
10/30/19,665,0,0,0,1,0,1,0,1,1,1,1,1,1,1578,1728,1224,1652,1295,1537,1362,2661,1908,694,1043,922,1550,1,993,1,-32,7
4/18/20,5774,1,0,1,0,1,0,0,0,1,0,0,0,0,362,1470,1944,1825,700,1939,661,3595,802,1775,929,63,471,1,4669,1,139,12
11/30/19,2602,1,0,0,0,0,1,0,0,1,0,0,0,0,1744,1452,1189,680,2355,1608,1288,1203,233,1290,1062,1816,1531,3,672,1,-1,0
4/8/20,2727,0,0,1,0,0,1,1,1,0,1,0,1,1,1145,279,1959,497,2026,1095,990,1877,1868,1360,93,669,265,1,1783,0,129,0
7/5/19,172,0,0,0,1,0,0,0,1,0,0,0,1,0,260,1175,139,1611,844,999,1129,633,155,2759,1806,1112,137,1,662,1,-149,0
4/2/20,8230,0,1,0,0,0,1,0,0,1,0,1,0,0,1119,1719,1155,1250,899,699,1836,728,180,571,135,1061,1090,2,4912,1,123,1
11/17/19,4796,1,0,0,1,0,1,0,1,0,0,1,1,1,1449,272,1754,1258,3086,675,482,2884,1471,627,273,1689,944,1,2432,1,-14,0
8/4/19,4169,0,0,0,0,1,1,1,1,1,0,0,0,0,1241,453,23,801,763,616,1591,1183,862,2365,1437,467,1164,2,10918,1,-119,6
6/24/19,6231,0,0,1,1,1,0,0,1,0,0,0,0,1,1308,174,544,417,2957,475,678,1380,1531,900,742,1673,1071,2,4427,0,-160,0
8/12/19,3691,1,0,1,0,0,1,0,0,0,0,1,1,1,975,665,1061,1872,2931,1988,1294,3284,616,2646,799,1454,563,2,9509,1,-111,13
7/15/19,1059,1,0,1,0,1,0,1,1,0,1,1,0,1,1324,517,1545,391,1553,303,1267,3635,413,1858,1375,659,1549,1,7528,1,-139,11
8/21/19,7370,1,0,1,1,1,0,0,1,1,1,0,1,1,1460,672,212,1714,2167,1542,909,2245,612,2070,1067,244,483,1,3042,1,-102,11
7/30/19,1693,0,0,0,0,0,1,1,1,1,0,0,1,1,779,798,111,1377,2006,784,1843,3327,187,1700,225,1540,1540,3,2912,0,-124,10
12/11/19,3390,0,0,1,0,1,0,0,0,1,1,1,1,1,1407,1107,379,880,2797,1413,32,3244,1674,1364,481,783,1516,2,1976,1,10,0
2/10/20,8410,0,0,0,1,1,0,0,1,1,0,1,0,1,428,443,1590,53,2167,1201,1918,1567,1406,2628,1042,580,73,1,4910,0,71,0
12/15/19,4527,0,1,1,0,0,1,1,0,0,1,1,0,0,1939,1129,1109,1415,2200,1710,656,2698,221,1932,1966,1742,1877,3,207,1,14,0
6/28/19,2057,1,1,0,1,1,1,1,1,1,0,1,0,1,542,1898,1163,27,1576,233,1486,1772,1937,1658,526,557,1233,3,3379,1,-156,13
11/1/19,2511,1,0,1,1,1,0,1,1,1,0,0,0,1,1238,1714,1784,1941,694,1646,82,3601,245,427,599,404,1872,1,5188,1,-30,14
7/5/19,9900,0,0,1,1,1,1,0,0,0,0,1,1,1,1446,1786,1065,872,3127,1065,1770,3058,1445,2202,444,106,809,3,2952,1,-149,14
3/22/20,6112,0,1,1,1,1,1,1,0,1,1,0,0,1,429,225,1909,1512,2001,1803,338,1432,28,425,795,1394,1157,1,1602,1,112,2
9/5/19,1672,0,0,1,0,1,0,1,0,0,0,0,0,0,834,361,1503,450,2961,918,309,2958,1621,1537,1777,1162,1496,3,4564,1,-87,0
2/17/20,3024,1,0,0,0,1,0,0,1,0,0,0,1,1,1585,1853,815,530,2273,395,1958,3235,1509,441,1806,663,86,3,3634,1,78,0
8/10/19,1421,1,1,0,1,1,0,0,1,1,1,0,0,1,1477,1469,1429,674,909,503,413,2981,726,1815,1946,873,76,2,3563,1,-113,0
7/28/19,6341,1,0,1,1,0,0,1,0,0,0,0,1,1,1725,1727,1463,1329,1952,1276,223,2900,1217,1428,973,208,1274,1,1135,0,-126,10
12/8/19,3425,0,1,1,1,0,1,0,1,0,0,0,1,1,1260,580,1568,859,1312,435,1522,3232,569,1153,1116,1057,790,1,4180,1,7,0
10/1/19,6674,0,1,1,1,1,0,0,0,0,1,0,0,0,119,1725,697,931,921,1484,609,3212,1226,917,857,1588,1557,1,1568,1,-61,0
3/23/20,4025,0,1,1,0,1,1,0,0,0,1,1,0,1,126,1492,1274,1899,1624,764,599,2942,1082,1855,1036,444,1858,3,4051,0,113,0
2/19/20,414,1,0,0,0,1,1,1,0,1,1,0,0,0,709,312,342,523,2714,114,870,3474,898,1463,701,1039,1123,2,5400,1,80,9
3/23/20,7329,0,1,0,1,0,1,0,0,0,1,0,0,1,374,1795,181,1294,2695,898,1577,3516,216,1344,185,1802,254,2,1724,1,113,6
12/7/19,8950,0,1,0,1,0,0,0,0,0,1,0,1,0,1645,532,1691,1116,659,888,290,1893,1389,1574,1418,647,1580,2,4653,1,6,0
7/16/19,1384,0,0,1,1,1,1,1,0,0,1,0,0,0,966,1274,894,1812,3154,1234,246,2464,155,853,1720,1692,1573,1,4091,1,-138,0
4/17/20,8191,1,0,0,1,1,1,0,1,0,1,1,1,0,1961,294,75,1430,1678,156,1084,2652,662,629,1054,1617,1647,1,7618,1,138,11
3/4/20,8699,1,0,1,1,0,1,1,1,1,0,1,1,0,184,1552,1141,411,542,973,624,1772,1939,520,1667,339,1514,1,1728,0,94,10
1/5/20,7507,0,1,1,1,1,1,0,1,1,0,1,0,0,1804,1519,760,408,2342,877,970,2727,1614,358,1701,927,1862,2,1583,0,35,0
9/5/19,8737,0,0,0,1,1,0,0,0,0,0,0,1,1,1258,1767,1932,372,3047,1759,244,3461,58,670,896,1734,2,3,3780,1,-87,1
8/19/19,7088,0,1,1,0,1,0,1,0,0,1,0,1,1,715,1194,549,1185,2137,1944,1073,3340,744,649,1471,1601,737,1,5631,0,-104,3
6/8/19,8740,0,0,1,1,0,1,0,0,1,0,1,1,0,1917,964,1496,1354,1311,1173,1727,3324,670,2332,954,785,504,1,2063,0,-176,0
12/13/19,2030,0,1,0,0,0,1,0,0,0,1,1,0,1,1885,977,1203,1395,1363,1853,1740,1175,1316,1265,1294,1680,177,2,2503,0,12,0
10/26/19,1687,1,1,0,1,0,0,1,1,1,1,1,1,1,1905,1436,367,673,1049,1146,1592,2431,1231,2033,279,467,1762,1,695,1,-36,0
6/18/19,527,1,1,1,0,1,1,0,1,1,0,1,1,0,337,455,743,598,2330,1068,462,1918,1948,2455,312,1235,573,1,825,1,-166,13
11/21/19,5703,1,0,1,0,0,0,1,0,0,0,1,0,0,432,647,1546,1666,549,148,1642,2877,75,2479,1331,432,34,1,6003,1,-10,4
1/28/20,3443,0,1,1,1,0,0,0,0,1,1,0,1,0,1407,197,1416,1781,3098,1849,1243,3392,573,2111,778,1317,840,3,2132,1,58,0
12/19/19,5213,1,1,0,1,1,1,1,1,0,1,0,0,1,1773,1948,234,1699,2955,17,1059,2710,611,1893,1068,166,913,1,1609,0,18,0
3/2/20,4726,0,1,0,0,1,0,1,1,0,1,1,0,1,94,1874,409,1246,583,1271,242,948,1370,1868,565,1378,230,2,4082,0,92,7
9/7/19,3110,0,0,0,1,1,1,0,0,1,0,0,0,0,483,1488,937,1011,864,1275,793,3646,488,468,1436,68,1003,3,2990,1,-85,0
12/15/19,3096,1,1,0,1,1,0,1,1,0,1,1,1,1,1976,1999,763,1993,2722,1122,78,2918,1916,1558,398,824,571,2,4842,1,14,0
4/19/20,3444,0,1,1,0,1,1,1,0,1,1,1,1,1,1204,966,267,482,730,654,1319,3186,149,2290,861,166,623,2,2034,1,140,2
6/9/19,2259,1,0,0,0,1,1,1,1,1,0,1,1,0,428,730,707,589,846,629,1655,2496,1094,1234,943,433,187,1,9879,0,-175,10
1/23/20,6942,1,0,0,1,1,0,1,1,0,0,0,1,1,177,1890,1344,558,529,1850,1915,2394,1562,2200,1340,1827,1624,1,7667,1,53,8
4/11/20,8173,0,0,1,1,1,1,0,1,0,0,1,0,1,524,1983,78,787,3172,945,344,1023,1379,1578,1650,1321,431,2,2512,1,132,3
1/14/20,2470,1,0,0,0,0,0,1,0,0,1,1,0,0,848,71,630,1120,1607,692,348,1068,1383,1457,604,693,27,2,1545,1,44,0
12/27/19,5548,1,0,0,0,0,0,1,0,1,0,1,1,0,1984,1856,897,1634,968,583,48,1491,1896,2081,1589,703,982,3,1387,1,26,3
2/3/20,3879,1,0,0,0,0,1,1,1,0,1,0,1,0,1459,1687,1924,1982,2937,344,1114,1963,957,640,1064,1450,1976,3,301,1,64,0
2/29/20,7328,0,1,0,1,0,1,0,0,1,0,0,1,0,1774,863,1481,1945,882,1711,98,931,794,2471,664,356,1391,2,4411,1,90,3
7/11/19,4868,1,0,0,0,0,1,1,0,0,0,1,1,0,1791,1590,937,1129,714,1780,1934,1578,1820,532,162,637,1006,2,3658,1,-143,7
2/23/20,6595,0,0,1,0,1,0,0,0,0,0,1,1,1,500,1233,443,396,1049,1240,1886,1579,1112,385,960,348,889,1,6966,1,84,9
8/13/19,621,1,0,0,0,0,0,0,1,0,0,1,0,0,946,481,615,238,2178,959,1148,2893,1917,2711,286,1194,132,3,1168,1,-110,0
6/7/19,4380,1,0,0,1,0,0,1,0,0,0,1,0,0,60,45,69,1553,2296,1108,258,3493,1507,539,392,1313,49,2,6277,1,-177,5
5/22/20,4730,1,1,0,1,1,1,1,1,0,0,1,0,1,1971,917,51,1593,1037,1314,182,881,729,1687,1674,1124,521,2,11601,0,173,9
8/23/19,3192,1,0,1,1,1,1,0,1,0,0,1,0,1,1694,1240,838,37,2507,287,454,2981,498,660,523,467,636,2,3039,1,-100,0
2/21/20,8966,0,0,1,0,1,0,1,0,1,0,1,0,1,731,491,1939,1981,2174,700,1245,2235,1129,2077,1533,297,13,2,3234,1,82,13
9/30/19,9486,0,1,1,1,0,0,0,0,1,1,0,1,0,525,297,373,1095,1960,664,1108,881,1700,2542,1594,227,1508,1,2432,0,-62,0
1/31/20,1605,0,1,0,1,0,1,1,1,1,0,1,1,1,1172,1770,1522,599,1540,1072,936,990,550,2645,1224,1388,1799,3,6318,1,61,1
9/10/19,138,1,1,1,1,1,0,0,1,1,1,1,0,1,1925,1694,259,904,3005,373,1746,668,1626,2543,970,236,164,1,730,1,-82,0
10/20/19,6530,0,1,0,0,0,1,1,0,0,0,0,0,1,4,1471,1601,1704,1795,828,810,1591,874,423,549,1499,1157,1,1971,0,-42,0
4/18/20,6340,0,1,1,0,0,0,1,1,0,1,0,0,0,246,1636,823,1906,3099,801,587,2959,861,1597,261,1021,290,1,256,1,139,0
5/15/20,4872,1,1,0,0,1,1,1,0,1,1,0,1,1,835,808,588,1495,2211,1864,1830,3171,122,355,945,827,352,2,1266,1,166,0
7/14/19,8243,0,1,1,1,0,0,1,0,0,1,1,1,0,1881,1110,167,151,834,1248,1373,3099,1637,535,1637,1890,847,3,10855,1,-140,5
2/22/20,4264,0,0,1,0,1,0,1,1,1,1,0,0,0,1104,721,62,1867,2086,1682,1350,2554,433,1191,776,86,621,2,1369,1,83,0
5/4/20,4410,0,1,1,1,1,1,0,0,0,1,0,1,1,864,1826,1987,573,1875,1808,551,2019,1907,521,1038,1200,563,3,8666,0,155,7
1/16/20,5437,0,1,0,0,1,0,1,0,0,0,1,1,1,285,1516,1217,849,3178,537,1568,744,1451,2054,279,802,1740,1,1955,1,46,0
9/30/19,5187,1,0,1,1,0,1,0,0,0,1,0,0,0,823,1187,920,1157,2575,619,1114,2017,902,1518,1239,1391,899,3,11753,0,-62,14
4/20/20,3234,0,1,1,0,0,1,0,1,1,0,1,0,0,1584,1068,442,472,1305,1985,714,1814,337,1368,422,170,984,2,2524,1,141,0
3/14/20,2093,0,0,1,0,1,0,1,0,1,1,0,0,1,1064,1814,1777,1513,3165,1410,992,1660,171,1590,1992,1550,1779,3,1084,0,104,2
4/7/20,9507,1,1,0,0,0,0,0,0,1,1,0,0,0,291,368,1946,441,1252,1050,95,3012,1127,582,180,315,480,1,4293,0,128,1
5/25/20,457,0,1,0,0,1,1,0,0,1,1,0,1,1,1576,1277,682,610,564,1306,1579,2519,1885,1727,1570,912,1449,2,5641,0,176,7
4/28/20,8668,1,0,1,1,0,1,0,0,1,0,0,0,0,406,490,378,1531,3198,1839,1184,1689,571,671,58,269,1819,3,2976,1,149,0
4/7/20,693,0,1,1,1,1,1,0,1,1,0,0,0,0,1792,1147,685,1814,1826,737,1729,1691,595,2449,1427,1846,155,1,11293,1,128,10
4/9/20,6267,0,0,0,1,0,0,1,1,1,0,0,1,1,1459,464,737,22,2745,1818,263,1335,643,1073,1715,934,436,2,161,1,130,0
12/16/19,1518,1,1,0,1,0,1,0,1,0,1,1,1,0,397,1135,1524,865,442,1237,811,2727,483,1836,1026,1448,229,3,2226,1,15,0
11/25/19,5507,0,1,0,1,0,0,0,1,1,0,0,1,0,1939,204,1205,627,1525,1968,111,1574,1188,1944,13,901,260,2,4329,0,-6,0
4/5/20,8181,1,0,1,1,1,1,0,0,1,0,0,0,0,758,375,1130,1879,1228,902,216,1055,18,617,934,399,741,1,3308,1,126,0
7/13/19,1575,1,0,0,1,1,1,1,0,1,1,0,0,1,1689,827,799,649,1715,1806,1807,660,1010,1936,1549,1281,415,2,3417,0,-141,0
8/4/19,5353,1,1,0,1,0,1,0,1,1,0,1,1,0,1517,870,1773,383,566,888,762,2178,1692,2756,251,1286,1060,1,5928,1,-119,10
2/11/20,2269,1,1,1,0,1,0,0,1,1,1,0,0,1,602,1130,113,54,871,164,511,2401,1130,1046,863,613,1578,2,8529,1,72,7
9/12/19,448,0,1,1,0,1,0,1,1,0,1,1,1,0,1371,1416,119,394,1405,158,334,3313,151,2779,1829,90,866,2,148,1,-80,0
12/31/19,1426,1,0,0,0,1,1,0,1,0,1,1,0,0,593,1384,520,59,1059,750,161,1898,1127,2710,1498,1264,1070,3,3553,0,30,4
11/6/19,5620,1,0,0,1,0,1,1,0,1,1,0,1,1,1903,376,1300,1979,2873,1329,523,1308,1234,1454,359,1460,383,2,6441,1,-25,6
11/8/19,2591,1,1,1,1,0,1,1,0,0,0,0,0,1,1976,785,1444,212,518,1271,1292,3414,305,1915,1230,600,1540,1,2622,1,-23,0
3/11/20,3630,1,1,0,1,0,0,1,0,1,1,0,0,1,1294,1578,31,1091,1672,1991,461,3291,480,1832,343,1744,1268,2,2212,0,101,0
12/5/19,6400,1,1,1,0,0,0,0,1,1,1,0,1,1,1151,752,1239,210,2715,1427,1276,997,1342,1573,685,113,1856,2,1487,1,4,0
7/1/19,4017,0,0,0,1,0,1,0,1,1,0,1,0,1,651,638,875,1399,1466,1519,1223,639,844,928,1302,1929,1537,2,4182,0,-153,0
1/20/20,1140,1,0,1,0,1,0,0,1,0,0,1,1,0,1899,690,906,1556,2713,982,1753,1834,548,2354,217,1008,354,1,3712,0,50,0
4/30/20,4541,1,0,0,1,1,1,0,0,0,0,0,1,0,342,29,118,705,2353,1960,1346,631,113,1204,1039,758,1950,2,10014,0,151,13
4/7/20,9184,0,1,1,0,1,1,0,1,0,0,0,0,1,647,1417,1396,83,629,1036,1046,662,322,1160,1618,1738,1773,2,11783,0,128,9
12/21/19,6010,1,1,0,0,1,0,1,1,0,0,1,1,1,1844,341,628,1410,925,1704,383,1168,1697,638,1737,437,630,2,5723,0,20,10
11/8/19,2447,0,1,0,0,1,0,0,0,1,1,1,0,1,71,911,294,1689,1789,481,252,688,400,714,519,1332,675,2,1667,0,-23,0
6/21/19,4812,0,0,1,0,0,1,0,1,1,0,1,0,1,1757,1959,1584,1363,885,1880,1447,965,524,1220,1729,510,83,3,4842,1,-163,0
12/11/19,3540,1,0,1,0,1,0,0,1,0,1,0,1,0,1415,845,1113,844,3114,1057,1919,1566,1375,1438,101,1591,1928,1,612,1,10,0
5/23/20,7093,1,1,0,0,0,1,0,1,0,1,1,0,0,567,1593,1489,1711,1879,864,1346,1191,1736,1247,399,1773,359,3,3399,0,174,3
6/26/19,2780,0,0,1,1,1,1,1,1,0,0,0,1,1,1247,1289,1582,1239,500,188,425,1580,1622,754,764,646,7,1,1648,0,-158,4
4/24/20,4837,1,0,0,1,0,0,0,0,0,1,0,0,0,402,116,1546,824,1513,1340,141,2860,850,1908,81,1451,1571,3,1181,0,145,0
2/12/20,4208,1,0,1,0,1,0,0,0,1,0,1,1,0,629,938,1516,1010,2713,331,64,2793,701,2665,641,1241,426,3,957,0,73,0
11/20/19,9597,0,1,0,0,1,0,1,0,1,1,0,0,1,994,1431,312,1248,1125,831,352,2897,1381,2757,561,1479,939,2,4782,1,-11,0
8/21/19,178,1,0,0,1,1,1,1,0,1,1,1,0,0,1220,1353,1526,1446,1674,1777,1771,2509,979,2097,857,1771,1590,3,11176,0,-102,14
2/6/20,7417,0,1,1,0,1,0,1,0,0,1,1,1,1,781,793,1431,928,2743,1488,1231,2888,1099,2450,865,1177,1863,3,4504,0,67,3
4/28/20,4918,1,0,1,0,0,1,1,0,1,0,0,1,1,677,1902,1565,670,937,538,114,1198,786,1397,397,172,377,1,418,1,149,0
5/10/20,2330,0,0,1,0,0,1,1,1,0,0,1,1,1,1896,163,569,1136,1846,1027,1096,730,1510,866,1636,1095,684,2,7121,1,161,3
12/12/19,6258,0,1,1,0,0,1,1,1,0,0,1,1,1,1081,242,1537,899,2730,496,1872,2039,1833,1932,1168,1086,832,1,6610,1,11,10
11/1/19,8516,0,0,1,1,1,0,0,1,1,0,0,1,1,570,521,100,722,3136,1013,1654,1682,693,502,686,607,679,2,7417,0,-30,3
11/14/19,3525,1,0,1,1,0,1,0,0,1,0,1,1,0,260,403,70,150,1050,1892,1937,1170,1025,2311,38,1994,392,2,3387,1,-17,0
11/8/19,7415,1,1,0,1,1,1,1,0,0,1,1,1,0,1405,73,1922,1595,533,1776,1413,1992,521,2432,410,1532,1862,3,853,1,-23,0
2/20/20,7176,1,0,1,1,1,1,1,0,0,1,0,1,0,1295,1134,125,1312,2704,898,1341,2761,1846,1303,283,68,183,3,2605,1,81,4
5/16/20,5607,1,0,0,0,0,1,0,0,1,1,1,1,1,1408,64,440,433,1987,1847,1151,3676,998,1587,554,1800,405,3,6454,1,167,6
8/4/19,854,0,1,0,0,1,1,0,0,0,1,0,1,0,281,793,1021,856,1934,1899,1535,2628,506,1031,1380,1659,497,2,4246,1,-119,12
10/25/19,9536,1,1,0,0,1,1,1,0,1,1,0,0,1,1380,203,1313,1733,2407,707,1962,1877,1643,1205,592,1109,769,1,263,1,-37,0
3/29/20,2287,0,0,1,0,0,1,1,1,1,1,1,0,0,589,129,995,233,3193,1015,1876,2441,990,821,315,145,287,3,740,1,119,0
3/30/20,3425,1,0,1,1,1,1,1,0,0,1,0,1,0,360,317,1714,98,1049,1223,888,2399,1431,364,407,1184,104,1,9553,1,120,8
12/29/19,9388,0,1,1,1,0,0,1,1,0,0,0,0,0,543,1957,399,763,557,1508,1087,1343,435,829,60,757,1690,3,1964,1,28,0
5/22/20,1875,1,1,0,0,1,1,1,1,1,0,1,0,0,285,1519,963,336,1392,96,1579,1205,447,883,828,171,572,2,7275,0,173,10
