Sign_Up_Date,User_ID,Transactions,Expenses,Sales,Cash Flow,Payroll,Time,Reports,Taxes,Mileage,Accounting,My_Accountant,Apps,Live_Bookkeeping,Transactions_Usage,Expenses_Usage,Sales_Usage,CashFlow_Usage,Payroll_Usage,Time_Usage,Reports_Usage,Taxes_Usage,Mileage_Usage,Accounting_Usage,My_Accountant_Usage,Apps_Usage,Live_Bookkeeping_Usage,Plan_Type_Usage,Session_Length,Susbcribed,days
6/27/19,319,1,0,0,1,0,1,1,0,0,0,0,0,0,1611,785,218,745,1369,1570,751,2314,1941,2068,212,1654,1568,1,3044,0,-157
11/25/19,7570,1,0,0,0,0,1,0,0,0,0,1,0,0,933,1795,1336,817,1944,397,1518,2155,570,1241,980,368,816,2,528,0,-6
8/23/19,180,1,1,1,1,0,1,1,0,0,0,1,0,0,1019,1226,1848,1074,1026,774,1649,691,1479,2163,1098,1583,1232,1,1848,0,-100
1/8/20,8945,1,1,0,1,1,1,0,1,0,1,0,1,0,1039,132,630,333,1061,1264,60,1922,725,2603,1137,605,1566,1,6994,0,38
12/5/19,4505,0,1,0,1,0,1,1,0,0,0,1,0,1,1058,102,1539,1069,592,515,446,1327,716,1453,790,11,1636,1,1134,0,4
2/9/20,5814,1,1,1,0,0,0,0,0,0,1,1,0,1,750,1144,1284,857,2807,745,1284,1999,1188,902,310,431,647,1,5053,0,70
8/16/19,6909,0,1,1,0,1,1,1,0,1,1,1,0,0,504,1476,1179,1350,1813,1159,353,2109,1785,1183,1632,135,1029,1,2448,0,-107
2/9/20,2696,1,1,0,0,0,0,1,1,0,0,0,1,1,1204,1048,1294,770,1860,1898,708,1493,737,1150,503,472,401,1,5769,0,70
4/11/20,3948,0,0,1,1,0,1,1,0,0,0,0,0,1,1958,1944,451,1542,937,335,980,1512,1319,550,482,1571,1378,3,4623,1,132
3/25/20,9681,0,0,1,1,1,1,1,1,1,1,0,1,1,637,793,213,1589,703,234,516,3309,1941,1589,1208,1928,151,2,2072,0,115
6/22/19,3169,1,1,0,0,1,0,1,1,0,0,1,1,1,1950,203,593,221,601,933,1526,1083,1150,2763,1147,1372,1543,1,7285,1,-162
4/16/20,9678,1,0,1,1,1,0,1,1,1,1,0,0,0,1984,389,1575,1046,2381,1087,519,2418,520,2547,1502,176,367,1,4550,1,137
12/8/19,3802,0,1,0,0,0,0,0,1,1,1,0,0,1,1840,1201,1885,1397,1733,483,1500,979,204,2529,1885,1505,607,1,2275,1,7
4/11/20,3159,1,0,0,1,1,0,1,1,0,0,0,1,1,442,1484,836,643,3083,1063,1467,2123,1967,2101,127,1103,380,3,1103,0,132
6/6/19,5092,0,1,1,1,1,1,1,0,0,1,1,0,0,289,151,1316,161,2717,1554,820,765,52,1211,871,447,890,1,1156,0,-178
10/31/19,6455,1,1,0,1,1,1,1,0,0,0,1,0,1,1750,1373,1370,301,2653,1519,1372,2555,1083,1766,1042,245,109,2,1440,1,-31
12/16/19,8595,1,1,1,0,1,0,1,1,0,0,1,1,0,654,1545,1765,1188,1803,855,99,3543,1024,2463,234,722,1599,2,1776,0,15
6/2/19,4579,0,0,0,1,1,1,1,1,1,1,0,1,0,1033,237,1723,372,2010,1216,1229,2483,1406,1927,1105,1984,1902,1,3710,1,-182
7/14/19,3282,1,1,1,0,0,0,1,1,1,1,1,1,1,1924,472,778,1100,1478,1178,1316,1143,1425,1814,1605,418,120,3,3228,0,-140
5/28/20,7971,0,1,1,1,1,1,1,0,0,1,1,0,0,471,447,166,1198,2223,1408,601,2515,1214,677,1995,903,818,1,1446,1,179
8/21/19,7455,0,1,0,1,0,0,0,1,0,1,0,1,0,1153,1865,246,121,2153,263,1457,2702,1805,1763,1830,473,644,3,6662,0,-102
2/20/20,2466,1,1,1,0,0,1,1,1,1,1,0,0,1,1048,812,1158,1098,510,860,1685,997,552,2066,218,1147,1653,1,6012,1,81
1/3/20,4057,1,0,1,1,0,0,0,0,0,0,0,1,0,999,1545,858,266,1608,1469,1857,739,345,2322,1565,1687,278,2,3821,0,33
9/12/19,9853,0,1,0,0,1,0,0,0,1,0,0,1,1,637,1762,1751,400,609,1807,1254,835,1526,467,1645,593,685,2,2145,0,-80
2/18/20,7191,0,1,1,0,1,0,0,1,1,0,0,0,1,1427,1652,1562,924,546,1326,675,3580,846,1124,699,1713,1939,3,2464,1,79
2/22/20,6649,1,0,0,0,0,0,1,1,0,1,0,0,1,796,1735,1736,1309,1731,1471,1046,3545,1052,1893,1665,1365,686,2,3153,1,83
2/11/20,7360,1,0,0,1,1,1,1,1,0,0,1,1,1,979,765,1823,905,889,566,801,1355,1514,673,1060,670,10,3,2867,1,72
9/13/19,2039,1,1,1,0,1,1,0,0,0,1,0,0,0,729,1757,699,1393,2611,741,1188,771,1963,2425,796,1479,1765,3,2548,1,-79
5/23/20,1676,1,1,1,0,1,0,0,1,1,1,0,0,0,619,1560,843,286,1996,1628,570,2128,1301,786,1369,1782,1759,2,5512,0,174
1/4/20,2813,0,1,1,1,1,1,1,0,0,1,1,1,1,1992,511,1209,494,575,1733,1689,827,610,1112,1707,706,38,3,2527,0,34
12/30/19,5449,1,1,1,1,0,0,0,0,0,1,1,1,1,393,1087,539,389,798,1031,1487,1601,559,426,1845,1726,1355,1,4591,1,29
2/7/20,1485,1,1,0,1,1,0,0,0,1,0,0,1,1,1453,895,1470,1949,1018,1462,1821,3673,1075,745,1488,1959,899,2,2863,1,68
4/14/20,69,0,1,1,1,0,1,0,1,0,1,0,0,0,1376,1764,348,933,2678,140,1711,2350,629,880,886,1106,1873,3,2307,1,135
3/6/20,8425,1,1,0,0,0,1,0,0,0,1,1,1,0,554,973,828,491,2505,1608,60,852,1639,885,1871,511,1908,3,6715,0,96
12/13/19,3669,0,1,1,0,0,0,1,0,1,0,0,0,0,1876,1934,1878,1149,997,1524,1027,1195,1440,1339,8,1894,677,3,4286,0,12
6/15/19,3232,1,1,1,1,0,1,1,0,0,0,1,0,1,1761,265,1737,648,1646,1416,899,2459,550,1033,1748,802,56,3,3422,1,-169
5/16/20,8075,0,0,1,0,0,0,0,1,1,1,1,0,1,1605,559,21,232,590,1472,405,762,760,916,1007,1220,1466,2,5810,0,167
1/2/20,2725,1,1,0,1,1,1,0,0,1,0,0,0,0,1007,1497,628,10,2109,977,1533,2005,584,1124,1379,204,1428,1,7364,0,32
5/12/20,8794,1,1,0,1,0,0,0,1,0,0,0,0,1,970,1959,780,379,1704,36,970,1104,1546,1947,787,809,1004,2,4762,1,163
10/24/19,3272,1,1,0,1,1,1,1,1,0,0,1,1,1,1241,1640,1472,1074,1448,609,924,2538,1897,2749,991,1864,1668,3,6542,0,-38
11/23/19,4777,0,0,0,0,0,1,1,1,1,1,1,0,0,1935,1546,901,302,1922,77,1113,2806,749,915,1079,466,1014,2,4027,1,-8
8/3/19,1285,1,1,1,0,1,0,0,1,1,0,0,0,1,1773,111,716,1230,1681,52,1643,1434,1304,1892,703,1436,1370,2,3767,0,-120
7/19/19,5274,0,0,1,1,0,0,0,1,0,0,1,0,1,1290,712,584,1816,2061,934,865,2043,604,903,1257,1827,1419,2,2436,0,-135
3/19/20,5783,0,1,0,1,1,1,1,0,0,0,0,0,0,1875,196,375,222,2148,389,1789,2598,1373,652,787,183,1251,2,5678,1,109
5/2/20,8889,0,1,0,1,0,1,0,0,0,0,1,1,1,1547,1330,287,385,2114,1108,1489,621,630,1750,1853,471,263,1,3276,0,153
9/11/19,8199,1,0,1,0,1,1,0,1,0,0,0,0,1,1244,266,1404,1629,2382,1742,132,2125,896,2012,275,1535,102,1,4173,1,-81
4/4/20,2317,0,1,1,1,1,0,1,0,1,0,0,0,0,1045,1141,114,463,1624,864,1592,3043,718,491,51,1904,219,3,2459,0,125
7/19/19,8986,0,0,1,1,1,0,0,0,0,0,1,0,0,173,1484,1095,1728,1767,1621,1564,3611,1041,2458,1964,258,218,3,3985,1,-135
2/23/20,467,1,0,0,0,0,0,0,1,0,0,1,1,1,1623,1589,868,1403,867,977,736,2472,21,2258,1317,1941,1331,3,5811,1,84
6/15/19,8555,0,0,0,1,0,0,1,0,0,0,1,0,0,590,460,501,1608,2148,602,639,1298,1665,787,116,825,1980,3,2579,0,-169
7/2/19,2799,0,1,0,0,0,0,0,0,0,0,0,1,0,1782,909,1858,1163,1190,1969,1905,1237,1490,2080,206,749,706,1,3036,0,-152
2/15/20,632,1,0,1,1,0,0,0,0,1,0,1,1,0,814,722,556,911,2740,1886,542,2724,1755,1058,939,1738,1072,2,1702,1,76
4/28/20,4393,1,0,0,0,0,0,0,0,1,1,0,0,0,601,19,227,943,1690,458,603,1883,711,2145,668,739,144,1,4811,1,149
7/24/19,6355,1,0,1,1,1,1,1,1,1,1,1,0,1,1850,317,1708,763,842,1668,299,2101,1919,1101,1604,1511,564,2,5231,1,-130
2/24/20,2171,0,0,1,0,1,0,1,1,1,1,0,0,1,1444,1595,1431,1940,3192,1482,328,1723,591,1919,234,815,1788,1,7398,0,85
3/1/20,5292,0,0,1,1,0,1,1,1,0,1,0,0,1,1746,1013,907,452,3102,34,445,2309,193,2270,1480,1674,1468,3,3417,1,91
1/6/20,9034,0,1,0,1,1,0,0,1,1,0,0,1,0,549,851,1124,1652,1043,487,310,1773,1744,1092,1264,672,1823,1,4510,0,36
6/4/19,1700,0,1,1,0,0,1,0,0,1,1,1,1,0,1146,1583,570,1133,2018,402,40,784,539,2104,285,901,479,1,5938,0,-180
8/27/19,1358,0,1,1,0,1,0,1,1,1,0,0,1,1,1239,990,1567,1086,1295,1129,851,615,1851,2437,736,1616,1188,3,1959,1,-96
4/13/20,9810,1,0,1,1,1,0,1,1,1,0,1,1,0,844,1647,1324,1346,1668,1830,517,1308,9,2590,901,1824,821,2,7171,1,134
8/6/19,585,0,0,0,1,0,0,0,0,1,1,1,1,1,1071,30,1911,57,2580,781,81,3311,1480,696,1214,1865,1346,3,7121,1,-117
12/15/19,4131,0,0,0,1,1,0,1,0,0,0,1,0,0,1927,1315,815,1244,2787,807,25,2214,274,2040,786,323,924,3,2319,0,14
1/27/20,8505,1,0,1,0,1,0,1,0,1,0,1,0,1,338,227,548,1565,1589,223,1645,3462,222,1668,1771,1939,610,2,1584,1,57
7/1/19,4785,1,1,1,0,0,0,1,1,1,0,1,1,1,1493,1190,1135,1353,2085,232,1987,2664,1130,1265,1536,312,1170,2,4126,0,-153
1/24/20,6890,0,1,1,1,0,0,0,0,1,0,1,0,1,565,1224,259,1647,1428,34,1643,662,321,2156,766,837,1417,3,3025,0,54
10/23/19,2970,1,0,1,1,0,0,1,1,1,0,1,0,1,154,1597,1025,867,1679,1550,699,1024,338,2467,1896,1158,930,1,5341,1,-39
5/22/20,9331,0,0,0,0,1,1,0,0,1,1,1,1,0,1054,1393,673,634,1426,1596,596,2499,1224,817,381,1182,866,3,1304,0,173
8/13/19,4197,0,1,0,0,0,0,0,1,1,0,1,1,1,1644,1028,706,1072,1506,306,61,2007,923,1407,1118,1916,1719,1,2187,0,-110
11/1/19,5003,1,1,1,0,1,0,0,0,0,0,1,1,0,1785,1155,1419,188,865,1991,1335,2558,660,2354,1812,369,1817,3,6558,0,-30
11/21/19,9882,1,0,1,0,0,1,0,1,0,1,0,1,1,1447,265,193,656,537,818,1245,3297,607,2574,1684,553,1680,2,5044,1,-10
6/12/19,3296,1,1,1,0,0,1,1,1,1,1,0,0,1,725,1163,1451,152,1550,1740,1866,808,1956,1575,1881,1669,1814,1,2920,0,-172
4/10/20,3710,0,0,0,1,0,0,0,1,1,1,1,0,0,1573,946,1644,723,2665,632,1862,708,630,1372,1296,127,49,3,5614,0,131
1/31/20,8496,0,0,0,0,0,0,1,1,1,0,1,0,1,271,244,1533,830,2713,1106,1150,1122,622,1132,1675,1135,1126,1,1944,0,61
4/10/20,8601,0,0,0,1,0,1,0,0,1,0,1,0,1,317,149,986,323,3020,1056,1603,2492,494,2546,420,1064,705,3,4363,1,131
7/28/19,411,1,1,1,1,0,0,1,0,1,1,0,1,1,539,245,351,1154,2696,238,1383,2819,1353,1981,1875,684,989,2,4877,0,-126
5/5/20,2249,0,0,1,0,0,1,0,1,1,0,0,1,0,1730,1683,1705,75,2901,1971,1058,1591,1017,1517,1770,1279,1379,3,3452,0,156
11/2/19,6474,1,0,1,1,0,0,1,0,1,0,0,1,0,1049,1088,987,1226,1946,217,1185,3602,1044,2278,710,505,1437,3,1591,1,-29
7/31/19,6172,1,1,0,1,0,1,1,0,0,0,1,0,1,150,1292,1456,1762,2613,459,44,1572,1416,1713,962,850,1837,2,833,0,-123
10/14/19,7331,0,1,0,0,1,0,1,0,0,1,1,0,1,1963,1691,261,1147,1233,1312,1914,3022,536,2246,1559,1000,512,2,2815,1,-48
4/4/20,6924,0,1,1,1,1,0,0,1,1,1,1,1,0,954,1386,1592,1676,1059,954,1387,1737,505,986,426,1753,1103,1,3170,0,125
2/6/20,5994,0,0,1,1,1,0,0,0,1,0,0,1,0,447,181,34,1934,565,1324,1176,1051,1555,2042,1615,193,1063,2,2119,1,67
8/20/19,3427,0,1,0,1,1,1,0,1,1,0,1,1,1,1573,1094,789,1427,409,372,541,661,1181,2601,233,1059,1862,2,6231,1,-103
11/8/19,6157,0,0,1,1,1,1,0,0,0,1,0,0,1,96,1988,556,563,1537,129,833,1528,999,2610,1551,1520,25,2,2597,1,-23
2/4/20,1418,1,0,1,1,0,0,0,0,0,1,1,1,1,471,189,1534,1912,1247,66,93,1424,1138,741,30,495,1615,1,3554,0,65
11/6/19,2097,0,1,1,0,1,0,1,0,0,0,1,1,1,372,532,833,255,2724,1075,51,2822,304,2421,1617,418,1825,2,1064,1,-25
4/12/20,1975,0,1,0,1,1,0,1,0,0,1,0,0,1,59,70,1139,115,1472,1176,598,1032,514,2640,46,1842,513,2,5390,1,133
5/15/20,6577,1,1,1,1,0,0,0,0,0,1,1,0,0,1517,325,906,994,2226,1113,548,3441,1796,1108,1799,1112,986,2,2395,0,166
12/20/19,1085,1,0,0,1,1,0,1,1,1,0,1,1,1,899,954,387,895,3149,893,334,1611,577,561,1506,94,395,2,2884,0,19
7/1/19,4768,0,1,1,0,1,1,1,0,0,0,0,1,0,1161,1600,403,1009,916,1997,759,3267,880,1735,635,1267,1928,1,1680,1,-153
9/20/19,9343,1,1,1,1,1,1,1,0,0,0,1,1,1,1663,1121,1450,812,532,1081,512,2540,246,2065,1748,756,59,1,7335,1,-72
2/20/20,1250,0,1,0,1,1,1,0,1,1,1,1,1,0,1786,1956,138,392,1584,626,1180,2353,807,2361,1268,280,157,1,4817,1,81
10/30/19,6171,1,1,1,1,1,0,1,0,1,1,1,0,0,1887,887,82,342,2561,251,1282,1010,998,528,1361,672,1472,3,2299,0,-32
10/14/19,1467,1,1,0,1,0,1,1,1,0,0,0,0,1,1611,1350,1414,347,2918,1060,1673,2731,136,582,638,1624,927,3,2471,1,-48
3/18/20,8945,1,1,0,0,0,0,1,0,1,0,0,0,1,1899,1971,308,1727,2539,151,749,3675,283,1868,551,249,702,3,4014,1,108
3/17/20,8336,1,1,1,0,0,0,0,1,1,0,0,1,1,1458,531,1283,1628,2201,1971,1151,1560,665,597,141,1489,895,1,1911,0,107
3/31/20,3908,1,0,0,1,0,1,0,0,1,1,0,1,0,569,1733,712,1532,2178,177,1473,3280,388,2496,1946,1276,713,3,7268,0,121
10/4/19,5830,1,0,1,1,1,1,1,1,1,0,1,1,0,1245,442,527,1834,2603,275,1492,2585,1894,386,1228,1628,250,2,6976,0,-58
3/3/20,8513,0,1,0,1,0,1,0,1,0,1,0,0,1,1907,942,1622,1727,993,862,810,1667,1266,1140,1140,958,746,1,1383,0,93
1/15/20,1107,0,1,0,1,0,0,1,1,0,0,0,1,1,1025,1311,342,1136,737,1935,1497,3603,1113,372,1681,966,1632,3,7382,1,45
5/26/20,7912,1,0,1,1,0,0,1,0,1,0,1,1,0,421,1479,331,1393,2566,1587,326,2803,1400,2581,236,1364,1714,3,4979,1,177
11/25/19,7313,1,1,0,1,0,0,0,0,0,0,1,1,0,985,756,125,1935,656,159,192,3558,1796,2639,912,1402,392,3,2340,1,-6
9/6/19,4622,1,1,1,0,1,0,0,0,1,0,1,0,0,1895,1456,1440,1122,1709,62,1722,1561,4,788,355,39,52,2,5540,0,-86
2/11/20,4729,0,0,1,1,0,0,1,0,1,0,1,1,0,837,650,353,1685,539,1905,1416,2588,1733,406,1295,1501,1788,2,2501,0,72
5/6/20,5251,0,1,1,1,1,0,0,0,1,0,0,0,1,1850,1038,183,409,2041,1485,1114,3508,821,2320,1282,820,537,2,6813,1,157
8/18/19,3978,1,1,1,1,0,0,1,1,0,1,1,1,0,1570,1452,1811,29,862,99,851,2024,878,1860,204,549,432,2,6475,0,-105
5/22/20,4538,1,0,1,0,1,0,0,0,1,0,1,0,0,882,518,1196,1008,1292,348,1229,989,1138,1697,88,1645,248,2,2265,0,173
1/4/20,5444,0,1,0,0,0,1,1,1,1,0,0,1,0,1248,1020,1386,1472,3105,1076,1203,2464,1350,1969,1216,1462,1838,1,1048,1,34
10/3/19,1811,0,0,1,1,1,1,1,1,0,1,0,0,1,1498,837,1484,393,1071,1841,890,1130,1290,2788,1353,1981,1415,3,5188,1,-59
7/3/19,6233,1,0,0,0,1,0,1,1,1,0,1,0,0,33,383,1843,1214,582,1044,265,1043,390,376,651,1412,1710,3,4201,0,-151
8/2/19,1430,1,0,0,1,0,1,1,0,0,0,0,0,1,1423,1579,1447,1433,1709,135,1988,1494,922,753,1626,26,1910,2,2725,0,-121
9/22/19,9223,0,1,0,1,0,0,1,1,1,1,1,0,0,1804,1964,1586,670,3173,1884,850,1268,1979,1822,456,1955,1975,1,3226,0,-70
11/20/19,7785,1,0,1,1,1,1,1,0,0,1,1,0,0,1668,1183,804,421,726,1247,322,2452,393,632,1951,1977,1107,3,3636,0,-11
5/25/20,3938,0,0,1,1,0,0,0,0,0,1,0,1,1,1472,1783,1810,866,609,197,299,958,123,1037,1347,742,983,1,2520,0,176
12/31/19,4049,1,0,1,0,1,1,0,0,1,1,1,1,0,1931,169,481,126,877,646,1200,944,451,1034,885,192,583,3,5340,1,30
8/20/19,3891,1,1,0,0,0,0,0,0,1,0,0,0,1,739,852,1964,1035,1382,1035,1430,3076,384,1604,1746,247,1837,2,4447,1,-103
3/21/20,9056,1,1,0,0,0,0,0,0,1,1,0,0,0,702,1924,1209,1758,2797,651,1616,2185,1448,429,152,411,1139,3,7074,0,111
7/10/19,6326,1,0,0,1,0,1,0,1,0,0,0,1,0,971,1419,1703,532,1125,397,1232,946,915,2391,365,1998,894,2,6967,0,-144
4/11/20,299,0,1,1,1,0,0,0,1,1,0,1,0,1,419,729,383,908,1177,867,443,1882,574,834,549,1385,1270,1,4950,0,132
2/20/20,7273,0,0,0,1,0,1,1,0,1,0,0,1,1,1728,110,897,1784,1416,178,370,2370,1422,2198,1129,269,896,2,610,0,81
3/3/20,7652,0,1,0,0,0,0,0,1,0,1,1,0,1,820,1258,1421,1541,1831,576,113,2244,1418,2084,390,920,890,3,2687,0,93
1/9/20,9419,1,1,1,0,0,1,1,1,0,0,1,0,0,14,229,1103,1147,2908,838,1905,3434,1246,987,75,1648,1796,1,6270,1,39
1/10/20,2813,1,0,0,1,1,0,1,1,1,0,1,1,1,1077,1894,1046,1657,1528,307,919,2482,516,2560,1611,1007,300,3,2262,0,40
6/30/19,1020,0,0,0,0,1,0,1,1,0,1,0,0,1,48,1766,1425,1735,2982,200,1115,2663,36,1335,1827,251,459,1,4464,0,-154
10/26/19,5213,0,1,0,0,0,1,1,1,0,0,1,0,0,722,334,1873,1939,2530,264,1020,2275,197,1420,1454,1478,1488,3,1296,1,-36
10/26/19,1738,1,0,1,1,1,1,1,1,1,0,0,0,0,581,255,938,627,2696,1998,1505,3434,741,1863,475,266,1579,2,1997,1,-36
1/13/20,5582,0,1,1,0,1,0,1,1,0,0,1,1,0,1616,1540,840,624,1629,1163,759,2080,689,2351,679,543,1680,2,2030,0,43
10/13/19,248,0,0,0,1,1,0,1,1,1,1,1,1,0,964,1120,922,415,2695,1869,1033,2936,1942,2561,205,675,47,2,5444,1,-49
11/27/19,2394,0,0,1,0,0,1,1,0,1,1,1,0,1,1808,1463,618,1794,2055,369,189,2323,1179,675,426,833,688,3,5971,0,-4
11/24/19,4898,0,1,0,0,1,1,1,1,0,1,1,1,1,1863,1828,239,378,1070,1155,24,944,902,392,354,448,734,3,3930,0,-7
7/3/19,5002,0,0,1,1,0,1,1,1,1,0,1,0,0,982,748,847,780,553,1930,1406,3449,802,1123,1701,1159,1570,1,6686,1,-151
6/24/19,4475,1,0,1,1,0,1,1,0,0,0,0,1,0,593,437,1548,1015,812,1482,1620,3369,1442,2261,440,896,619,1,4554,0,-160
4/27/20,1098,1,0,1,1,1,1,0,0,0,1,1,1,0,779,1955,1873,1622,1775,1659,927,989,1200,1868,1920,868,1601,2,2815,0,148
7/5/19,9678,0,0,0,1,1,1,0,1,0,0,0,1,1,618,1626,795,448,2404,1333,84,2182,656,2036,766,1621,1194,3,6920,1,-149
3/7/20,9065,0,1,1,0,0,0,0,1,1,1,0,0,0,1356,1212,241,485,2495,401,299,2911,1091,2492,129,961,1331,2,5113,0,97
9/16/19,5885,1,1,0,0,1,1,1,0,1,0,0,1,0,14,1363,1417,1624,1200,1576,416,834,733,952,516,53,1827,3,3985,0,-76
10/31/19,2894,1,1,0,1,1,0,0,0,1,0,1,0,0,496,1778,893,326,2706,988,1794,2363,1959,2366,678,53,1799,1,3614,1,-31
10/29/19,6616,0,1,1,1,0,0,1,0,0,0,1,0,0,1185,677,952,1870,550,1972,563,2154,1032,653,1638,849,1345,2,3250,0,-33
8/28/19,7305,1,1,1,0,1,0,0,0,1,1,0,0,0,1770,1811,860,83,2695,655,167,3077,1880,1360,11,1122,1923,2,2208,1,-95
5/3/20,8400,1,1,0,1,0,0,1,1,0,1,1,1,0,1513,1568,72,73,2994,139,878,1168,232,1759,1562,1166,201,3,2017,0,154
2/18/20,1399,1,1,1,1,1,1,0,0,1,1,0,1,1,1083,1171,464,339,945,1833,1163,1711,69,1960,313,1267,1930,1,7424,1,79
3/4/20,1126,0,0,0,1,1,1,0,1,1,1,1,0,0,424,1051,34,362,795,1627,1929,721,42,2468,1753,842,1283,1,5990,0,94
4/10/20,7307,0,0,0,0,1,1,0,1,1,1,1,0,1,1237,57,1530,799,1319,402,527,2899,1702,1408,11,1696,1220,1,5790,1,131
9/19/19,4126,0,1,1,0,0,0,0,0,0,1,0,1,1,1893,372,1361,885,906,1813,753,2271,90,2732,725,416,199,2,4481,0,-73
11/6/19,9881,1,0,1,1,1,0,1,0,1,1,1,1,1,806,586,1959,1507,1562,589,98,3411,1780,1770,471,1257,72,3,6805,1,-25
9/16/19,3656,0,0,0,1,0,1,0,1,0,0,0,0,1,1794,693,1653,249,573,1094,321,3019,670,2773,1340,526,1637,3,4164,1,-76
9/15/19,2617,1,1,1,1,1,1,0,0,0,1,1,1,1,1836,1379,1290,392,2037,735,585,1930,730,1555,545,887,503,1,6878,0,-77
4/13/20,8779,0,0,1,1,1,1,0,1,1,1,0,0,0,1248,1364,771,383,2634,208,416,777,830,1176,26,62,1682,1,7492,0,134
5/9/20,9946,1,1,1,0,1,1,1,0,0,1,1,0,1,165,324,471,1277,1752,1446,1975,3645,842,1436,1738,172,1299,1,5351,1,160
10/29/19,9143,0,0,0,0,0,1,1,1,1,0,1,0,1,1953,326,645,900,2267,1921,1199,1137,1239,2111,1821,1771,241,1,3356,1,-33
