"ClientAccountID","CurrencyPrimary","Symbol","TradeDate","TransactionType","Quantity","TradePrice","Proceeds","CostBasis","FifoPnlRealized"
"U3271652","USD","SQQQ","20201104","ExchTrade","-43","20.555","883.865","-2160.98463","-0"
"U3271652","USD","SQQQ","20201109","ExchTrade","-30","19.19","575.7","-1345.007989","-0.000001"
"U3271652","USD","SQQQ","20201127","ExchTrade","-36","17.855","642.78","-1405.338834","-638.117502"
"U3271652","USD","SQQQ","20201211","ExchTrade","30","17.245","-517.35","517.70625725","634.003921"
"U3271652","USD","SQQQ","20210107","ExchTrade","45","15.655","-704.475","704.95575725","0"
"U3271652","USD","SQQQ","20210121","ExchTrade","100","13.45","-1345","1345.43025725","0"
"U3271652","USD","SQQQ","20210203","ExchTrade","100","12.835","-1283.5","1283.96025725","0"
"U3271652","USD","SQQQ","20210211","ExchTrade","80","12.175","-974","974.43825725","0"
"U3271652","USD","SQQQ","20210222","ExchTrade","150","13.24","-1986","1986.690385875","0"
"U3271652","USD","TLT","20200921","ExchTrade","-4","165.155","660.62","-654.360151","5.897716"
"U3271652","USD","TLT","20200921","ExchTrade","-4","165.215","660.86","-654.360151","6.121711"
"U3271652","USD","TLT","20200924","ExchTrade","-7","164.93","1154.51","-1188.668436","-34.529442"
"U3271652","USD","TLT","20200929","ExchTrade","-35","165.19","5781.65","-6023.538792","-242.482987"
"U3271652","USD","QQQ   211217P00217000","20200902","ExchTrade","-1","13.62","1362","-2566.6738","-1205.3697"
"U3271652","USD","SPY   201231P00280000","20200825","ExchTrade","-1","5.16","516","-2992.308219","-2477.415423"
"U3271652","USD","SQ    200918P00060000","20200918","BookTrade","-1","0","-0","-695.6638","-695.6638"
"U3271652","USD","NQZ0 P0900","20201218","BookTrade","-1","0","-0","-15901.42","-15901.42"
